"No.","Time","Source","Destination","Protocol","Length","Info"
"71","15.077323","192.168.100.139","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"72","17.043264","2603:1063:2204::1f","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TLSv1.2","107","Application Data"
"73","17.090248","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2603:1063:2204::1f","TCP","74","64761  >  443 [ACK] Seq=1 Ack=67 Win=1023 Len=0"
"74","18.102187","192.168.100.139","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"75","20.059295","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2800:cd0:ff:0:200:87:100:10","DNS","93","Standard query 0x6eb2 AAAA www.potosi.bo"
"76","20.059369","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2800:cd0:ff:0:200:87:100:10","DNS","93","Standard query 0x6a3d A www.potosi.bo"
"77","20.085885","2800:cd0:ff:0:200:87:100:10","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","DNS","109","Standard query response 0x6a3d A www.potosi.bo A 181.188.188.204"
"78","20.085886","2800:cd0:ff:0:200:87:100:10","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","DNS","134","Standard query response 0x6eb2 AAAA www.potosi.bo SOA potosi.bo"
"79","20.088126","192.168.100.139","181.188.188.204","TCP","66","65260  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"80","20.088919","192.168.100.139","181.188.188.204","TCP","66","65261  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"81","20.106941","181.188.188.204","192.168.100.139","TCP","60","443  >  65260 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"82","20.107781","181.188.188.204","192.168.100.139","TCP","60","443  >  65261 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"83","20.332824","192.168.100.139","181.188.188.204","TCP","66","65262  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"84","20.352164","181.188.188.204","192.168.100.139","TCP","60","443  >  65262 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"85","20.619177","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65261  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"86","20.619178","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65260  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"87","20.638658","181.188.188.204","192.168.100.139","TCP","60","443  >  65261 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"88","20.638749","181.188.188.204","192.168.100.139","TCP","60","443  >  65260 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"89","20.859064","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65262  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"90","20.877981","181.188.188.204","192.168.100.139","TCP","60","443  >  65262 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"91","21.112406","192.168.100.139","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"92","21.144107","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65261  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"93","21.144110","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65260  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"94","21.163563","181.188.188.204","192.168.100.139","TCP","60","443  >  65260 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"95","21.163705","181.188.188.204","192.168.100.139","TCP","60","443  >  65261 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"96","21.383167","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65262  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"97","21.402817","181.188.188.204","192.168.100.139","TCP","60","443  >  65262 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"98","21.670136","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65261  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"99","21.670138","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65260  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"100","21.689638","181.188.188.204","192.168.100.139","TCP","60","443  >  65260 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"101","21.689725","181.188.188.204","192.168.100.139","TCP","60","443  >  65261 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"102","21.908209","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65262  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"103","21.927769","181.188.188.204","192.168.100.139","TCP","60","443  >  65262 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"104","22.194264","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65260  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"105","22.194276","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65261  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"106","22.213369","181.188.188.204","192.168.100.139","TCP","60","443  >  65261 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"107","22.213371","181.188.188.204","192.168.100.139","TCP","60","443  >  65260 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"108","22.255539","192.168.100.139","181.188.188.204","TCP","66","65263  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"109","22.256066","192.168.100.139","181.188.188.204","TCP","66","65264  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"110","22.274363","181.188.188.204","192.168.100.139","TCP","66","80  >  65264 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM=1 WS=128"
"111","22.274523","192.168.100.139","181.188.188.204","TCP","54","65264  >  80 [ACK] Seq=1 Ack=1 Win=262400 Len=0"
"112","22.274561","181.188.188.204","192.168.100.139","TCP","66","80  >  65263 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM=1 WS=128"
"113","22.274719","192.168.100.139","181.188.188.204","TCP","54","65263  >  80 [ACK] Seq=1 Ack=1 Win=262400 Len=0"
"114","22.433135","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65262  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"115","22.452587","181.188.188.204","192.168.100.139","TCP","60","443  >  65262 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"116","22.459533","192.168.100.139","181.188.188.204","HTTP","455","GET / HTTP/1.1 "
"117","22.478661","181.188.188.204","192.168.100.139","TCP","60","80  >  65264 [ACK] Seq=1 Ack=402 Win=64128 Len=0"
"118","23.402183","181.188.188.204","192.168.100.139","HTTP","397","HTTP/1.1 301 Moved Permanently "
"119","23.413450","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2800:cd0:ff:0:200:87:100:10","DNS","89","Standard query 0xc18e A potosi.bo"
"120","23.413742","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2800:cd0:ff:0:200:87:100:10","DNS","89","Standard query 0xe6a8 AAAA potosi.bo"
"121","23.440230","2800:cd0:ff:0:200:87:100:10","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","DNS","105","Standard query response 0xc18e A potosi.bo A 181.188.188.204"
"122","23.440231","2800:cd0:ff:0:200:87:100:10","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","DNS","130","Standard query response 0xe6a8 AAAA potosi.bo SOA potosi.bo"
"123","23.442159","192.168.100.139","181.188.188.204","TCP","66","65265  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"124","23.450136","192.168.100.139","181.188.188.204","TCP","54","65264  >  80 [ACK] Seq=402 Ack=344 Win=262144 Len=0"
"125","23.461450","181.188.188.204","192.168.100.139","TCP","60","443  >  65265 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"126","23.674747","192.168.100.139","181.188.188.204","TCP","66","65266  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"127","23.694528","181.188.188.204","192.168.100.139","TCP","60","443  >  65266 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"128","23.976316","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65265  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"129","23.996074","181.188.188.204","192.168.100.139","TCP","60","443  >  65265 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"130","24.120515","192.168.100.139","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"131","24.199131","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65266  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"132","24.218736","181.188.188.204","192.168.100.139","TCP","60","443  >  65266 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"133","24.501109","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65265  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"134","24.520130","181.188.188.204","192.168.100.139","TCP","60","443  >  65265 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"135","24.724096","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65266  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"136","24.743499","181.188.188.204","192.168.100.139","TCP","60","443  >  65266 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"137","25.026110","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65265  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"138","25.044895","181.188.188.204","192.168.100.139","TCP","60","443  >  65265 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"139","25.249133","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65266  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"140","25.262473","192.168.100.139","181.188.188.204","TCP","66","65267  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"141","25.268290","181.188.188.204","192.168.100.139","TCP","60","443  >  65266 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"142","25.281300","181.188.188.204","192.168.100.139","TCP","66","80  >  65267 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1412 SACK_PERM=1 WS=128"
"143","25.281456","192.168.100.139","181.188.188.204","TCP","54","65267  >  80 [ACK] Seq=1 Ack=1 Win=262400 Len=0"
"144","25.282663","192.168.100.139","181.188.188.204","HTTP","451","GET / HTTP/1.1 "
"145","25.301442","181.188.188.204","192.168.100.139","TCP","60","80  >  65267 [ACK] Seq=1 Ack=398 Win=64128 Len=0"
"146","25.551230","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65265  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"147","25.569764","181.188.188.204","192.168.100.139","TCP","60","443  >  65265 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"148","25.710266","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2600:9000:25a9:7600:2:8588:ed80:93a1","TCP","75","65251  >  443 [ACK] Seq=1 Ack=1 Win=1022 Len=1 [TCP segment of a reassembled PDU]"
"149","25.745102","2600:9000:25a9:7600:2:8588:ed80:93a1","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","TCP","86","443  >  65251 [ACK] Seq=1 Ack=2 Win=133 Len=0 SLE=1 SRE=2"
"150","25.774214","192.168.100.139","181.188.188.204","TCP","66","[TCP Retransmission] 65266  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"151","25.793164","181.188.188.204","192.168.100.139","TCP","60","443  >  65266 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"152","26.634302","181.188.188.204","192.168.100.139","TCP","1466","80  >  65267 [ACK] Seq=1 Ack=398 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"153","26.634533","181.188.188.204","192.168.100.139","TCP","1466","80  >  65267 [ACK] Seq=1413 Ack=398 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"154","26.634535","181.188.188.204","192.168.100.139","TCP","1466","80  >  65267 [ACK] Seq=2825 Ack=398 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"155","26.634536","181.188.188.204","192.168.100.139","TCP","1466","80  >  65267 [ACK] Seq=4237 Ack=398 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"156","26.634536","181.188.188.204","192.168.100.139","TCP","1466","80  >  65267 [ACK] Seq=5649 Ack=398 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"157","26.634537","181.188.188.204","192.168.100.139","TCP","1466","80  >  65267 [ACK] Seq=7061 Ack=398 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"158","26.634662","192.168.100.139","181.188.188.204","TCP","54","65267  >  80 [ACK] Seq=398 Ack=8473 Win=262400 Len=0"
"159","26.634703","181.188.188.204","192.168.100.139","TCP","1466","80  >  65267 [ACK] Seq=8473 Ack=398 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"160","26.635283","181.188.188.204","192.168.100.139","TCP","1466","80  >  65267 [ACK] Seq=9885 Ack=398 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"161","26.635287","181.188.188.204","192.168.100.139","TCP","1466","80  >  65267 [ACK] Seq=11297 Ack=398 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"162","26.635287","181.188.188.204","192.168.100.139","TCP","1466","80  >  65267 [ACK] Seq=12709 Ack=398 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"163","26.635406","192.168.100.139","181.188.188.204","TCP","54","65267  >  80 [ACK] Seq=398 Ack=14121 Win=262400 Len=0"
"164","26.653395","181.188.188.204","192.168.100.139","TCP","1466","80  >  65267 [ACK] Seq=14121 Ack=398 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"165","26.653396","181.188.188.204","192.168.100.139","TCP","1466","80  >  65267 [ACK] Seq=15533 Ack=398 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"166","26.653400","181.188.188.204","192.168.100.139","TCP","1466","80  >  65267 [ACK] Seq=16945 Ack=398 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"167","26.653693","192.168.100.139","181.188.188.204","TCP","54","65267  >  80 [ACK] Seq=398 Ack=18357 Win=262400 Len=0"
"168","26.653787","181.188.188.204","192.168.100.139","TCP","1466","80  >  65267 [ACK] Seq=18357 Ack=398 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"169","26.653787","181.188.188.204","192.168.100.139","TCP","1466","80  >  65267 [ACK] Seq=19769 Ack=398 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"170","26.653792","181.188.188.204","192.168.100.139","TCP","1466","80  >  65267 [ACK] Seq=21181 Ack=398 Win=64128 Len=1412 [TCP segment of a reassembled PDU]"
"171","26.653792","181.188.188.204","192.168.100.139","HTTP","550","HTTP/1.1 200 OK  (text/html)"
"172","26.653981","192.168.100.139","181.188.188.204","TCP","54","65267  >  80 [ACK] Seq=398 Ack=23089 Win=262400 Len=0"
"173","26.812079","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2800:cd0:ff:0:200:87:100:10","DNS","100","Standard query 0xa180 A fonts.googleapis.com"
"174","26.812526","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2800:cd0:ff:0:200:87:100:10","DNS","100","Standard query 0xdd7f AAAA fonts.googleapis.com"
"175","26.815486","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2800:cd0:ff:0:200:87:100:10","DNS","87","Standard query 0x6e54 AAAA s.w.org"
"176","26.815557","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","2800:cd0:ff:0:200:87:100:10","DNS","87","Standard query 0xdbe9 A s.w.org"
"177","26.838716","2800:cd0:ff:0:200:87:100:10","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","DNS","116","Standard query response 0xa180 A fonts.googleapis.com A 142.250.0.95"
"178","26.839163","2800:cd0:ff:0:200:87:100:10","2800:cd0:bb1b:6b00:5ce6:9a9d:6e99:5810","DNS","128","Standard query response 0xdd7f AAAA fonts.googleapis.com AAAA 2800:3f0:4003:c03::5f"
